match_id,label,group,date,date,venue,dur,gameweek,round_id,home,away,winner,loser,ref,ref2,ref3,ref4
2057991,"Tunisia - England, 1 - 2",Group G,2018-06-18 18:00:00,"June 18, 2018 at 8:00:00 PM GMT+2",Volgograd Arena,Regular,1,4165363,16276,2413,2413,16276,378169,378217,378218,379140
2057990,"Belgium - Panama, 3 - 0",Group G,2018-06-18 15:00:00,"June 18, 2018 at 5:00:00 PM GMT+2",Olimpiyskiy Stadion Fisht,Regular,1,4165363,5629,17929,5629,17929,407737,456293,407519,380103
2057985,"Sweden - Korea Republic, 1 - 0",Group F,2018-06-18 12:00:00,"June 18, 2018 at 2:00:00 PM GMT+2",Stadion Nizhny Novgorod,Regular,1,4165363,7047,14855,7047,14855,381475,380885,379916,456269
2057978,"Brazil - Switzerland, 1 - 1",Group E,2018-06-17 18:00:00,"June 17, 2018 at 8:00:00 PM GMT+2",Rostov Arena,Regular,1,4165363,6380,6697,0,0,379973,384145,384148,457142
2057984,"Germany - Mexico, 0 - 1",Group F,2018-06-17 15:00:00,"June 17, 2018 at 5:00:00 PM GMT+2",Stadion Luzhniki,Regular,1,4165363,3148,15473,15473,3148,380599,380642,380666,380638
2057979,"Costa Rica - Serbia, 0 - 1",Group E,2018-06-17 12:00:00,"June 17, 2018 at 2:00:00 PM GMT+2",Samara Arena,Regular,1,4165363,16871,17322,17322,16871,407722,407732,407514,407813
2057973,"Croatia - Nigeria, 2 - 0",Group D,2018-06-16 19:00:00,"June 16, 2018 at 9:00:00 PM GMT+2",Kaliningrad Stadium,Regular,1,4165363,9598,16823,9598,16823,378204,378144,378145,384946
2057967,"Peru - Denmark, 0 - 1",Group C,2018-06-16 16:00:00,"June 16, 2018 at 6:00:00 PM GMT+2",Mordovia Arena,Regular,1,4165363,15594,7712,7712,15594,407901,411261,411252,395822
2057972,"Argentina - Iceland, 1 - 1",Group D,2018-06-16 13:00:00,"June 16, 2018 at 3:00:00 PM GMT+2",Otkrytiye Arena,Regular,1,4165363,12274,7839,0,0,384987,384926,384981,378169
2057966,"France - Australia, 2 - 1",Group C,2018-06-16 10:00:00,"June 16, 2018 at 12:00:00 PM GMT+2",Kazan' Arena,Regular,1,4165363,4418,8493,4418,8493,378232,378231,378126,378151
2057960,"Portugal - Spain, 3 - 3",Group B,2018-06-15 18:00:00,"June 15, 2018 at 8:00:00 PM GMT+2",Olimpiyskiy Stadion Fisht,Regular,1,4165363,9905,1598,0,0,377206,383492,384974,380103
2057961,"Morocco - Iran, 0 - 1",Group B,2018-06-15 15:00:00,"June 15, 2018 at 5:00:00 PM GMT+2",Stadion Krestovskyi,Regular,1,4165363,16216,10840,10840,16216,384995,384950,384938,384982
2057955,"Egypt - Uruguay, 0 - 1",Group A,2018-06-15 12:00:00,"June 15, 2018 at 2:00:00 PM GMT+2",Stadion Central'nyj,Regular,1,4165363,16129,15670,15670,16129,377215,384909,384929,384932
2057954,"Russia - Saudi Arabia, 5 - 0",Group A,2018-06-14 15:00:00,"June 14, 2018 at 5:00:00 PM GMT+2",Olimpiyskiy stadion Luzhniki,Regular,1,4165363,14358,16521,14358,16521,378051,378060,378038,378204
