player_id,match_id,shot,goal,assist,pass,pass_accurate,tackle,accel,counter,opportunity,keypass,own_goal,interception,smart,clearance,cross,air_duel,air_duel_won,gk_leave_line,gk_save_attempt,throw,corner,started,pos,min,player_rank
3309,2058017,0,0,0,22,18,0,0,1,0,0,0,6,0,4,0,4,3,0,0,0,0,True,right CB,90.0,0.0278
3310,2057978,0,0,0,81,61,1,0,0,0,0,0,10,0,1,4,1,0,0,0,4,0,True,left MF,90.0,-0.0111
3310,2057980,3,0,0,107,95,0,2,3,2,0,0,1,0,1,7,4,3,0,0,6,0,True,left MF,90.0,0.0183
3310,2057982,0,0,0,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,True,left MF,10.0,-0.0021
3310,2058011,1,0,0,73,61,0,1,0,1,2,0,8,0,0,11,1,1,0,0,7,1,True,left FW-left MF,90.0,0.0057
3314,2057972,0,0,0,36,31,0,2,1,0,2,0,0,0,0,6,0,0,0,0,2,4,True,left FW,75.0,-0.0032
3314,2057976,1,0,0,18,12,1,2,0,1,0,0,2,0,0,1,0,0,0,0,1,0,True,left FW,72.0,-0.0103
3314,2058003,2,1,0,20,10,1,2,2,2,0,0,1,0,0,7,1,0,0,0,3,2,True,left FW,90.0,-0.0006
3318,2057984,1,0,0,49,40,0,0,0,1,0,0,1,0,0,2,1,1,0,0,0,0,True,central MF,60.0,0.0
3318,2057988,2,0,0,50,44,0,2,1,1,0,0,5,0,1,1,2,2,0,0,0,0,True,central MF,58.0,0.0227
3319,2057984,1,0,0,75,66,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,True,central FW,90.0,-0.0058
3319,2057988,1,0,0,94,83,0,2,0,0,2,0,0,0,0,4,0,0,0,0,0,1,True,central FW,90.0,0.008
3322,2057960,1,3,0,29,29,0,4,5,2,1,0,2,0,2,0,8,4,0,0,1,0,True,left FW,90.0,0.0389
3322,2057962,4,1,0,20,15,0,0,0,3,1,0,3,0,3,1,4,2,0,0,0,0,True,central FW,90.0,0.0172
3322,2057964,3,0,0,28,23,0,4,9,3,0,0,1,0,0,0,4,1,0,0,1,0,True,central FW,90.0,0.0153
3322,2058002,5,0,0,24,18,0,1,0,1,0,0,0,0,0,2,4,2,0,0,2,0,True,central FW,90.0,-0.0032
3323,2057972,0,0,0,5,4,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,False,central FW,6.0,-0.0007
3323,2057974,1,0,0,6,6,0,0,2,1,1,0,0,0,0,0,3,0,0,0,1,0,False,central FW,36.0,0.0188
3323,2057976,2,0,0,26,21,0,0,2,2,0,0,3,0,1,1,4,1,0,0,0,0,True,central FW,90.0,0.0068
3341,2057960,0,0,0,72,69,1,1,0,0,0,0,4,0,0,0,5,3,0,0,0,0,True,right CB,90.0,0.011
3341,2057963,1,0,0,68,60,0,0,0,1,0,0,4,0,3,0,11,8,0,0,0,0,True,right CB,90.0,0.017
3341,2057965,3,0,0,74,71,1,0,0,2,0,0,2,0,1,0,6,4,0,0,0,0,True,central MF-right CB,90.0,0.0199
