name,foot,goal,dist_m,dist_ft,time,match_id,period,team_id,player_id,shot_id,accurate,shot_loc,counter,opportunity,x1,y1,x2,y2,H1,H2,E1,shot_loc_desc,time2,min
Mohamed Salah,left,False,13.9986333805304,45.915517488139706,628.1094459999999,2057956,2H,16129,120353,259402344,False,,False,True,88,37,100,100,2702.595624,2943.266872,,,3330.70507,55.0
D. Cheryshev,left,True,8.21888192882706,26.95793272655275,818.1829720000001,2057956,2H,14358,4513,259402364,True,gbr,False,True,93,58,0,0,2702.595624,2943.266872,,goal low right,3520.778596,58.0
Ali Gabr,head/body,False,12.418818971222667,40.73372622561035,1072.939883,2057956,2H,16129,198120,259402460,False,or,False,True,89,58,100,100,2702.595624,2943.266872,,out center right,3775.535507,62.0
Trézéguet,right,False,18.655985603084602,61.191632778117494,1307.789917,2057956,2H,16129,220112,259402554,False,obr,False,True,83,49,100,100,2702.595624,2943.266872,,out low right,4010.385541,66.0
S. Ignashevich,head/body,False,6.2068419055104025,20.358441450074118,1780.698536,2057956,2H,14358,101583,259402558,True,gc,False,True,96,38,0,0,2702.595624,2943.266872,,goal center,4483.29416,74.0
Abdallah Said,right,False,29.27701508163016,96.02860946774692,1476.9789090000004,2057956,2H,16129,120167,259402635,False,ot,False,True,74,32,100,100,2702.595624,2943.266872,,out high center,4179.574533000001,69.0
A. Dzyuba,right,True,12.611220991244267,41.36480485128119,969.748923,2057956,2H,14358,101669,259402650,True,gbr,False,True,89,60,0,0,2702.595624,2943.266872,,goal low right,3672.344547,61.0
Mohamed Salah,left,False,18.6524,61.179871999999996,2536.6524740000004,2057956,2H,16129,120353,259402975,False,,False,False,83,50,100,100,2702.595624,2943.266872,,,5239.248098,87.0
Amr Warda,left,False,21.325873074976325,69.94886368592235,2688.970552,2057956,2H,16129,388928,259403028,False,obr,False,True,82,72,100,100,2702.595624,2943.266872,,out low right,5391.566176,89.0
L. Suárez,left,False,21.861645466204045,71.70619712914926,113.214017,2057957,1H,15670,7972,259526930,False,,False,False,81,32,0,0,2824.933804,2937.8333780000003,,,113.214017,1.0
