player_id,match_id,name,team,pos,shot,goal,assist,cross,throw,corner
105333,2057982,Willian,Brazil,MID,0,0,0,3,1,3
105339,2057982,Fernandinho,Brazil,MID,0,0,0,2,0,0
127796,2057982,F. Kostić,Serbia,MID,1,0,0,4,0,0
140085,2057982,A. Živković,Serbia,MID,1,0,0,3,0,0
237274,2057982,N. Radonjić,Serbia,MID,0,0,0,1,0,0
265865,2057982,S. Milinković-Savić,Serbia,MID,2,0,0,0,0,0
11155,2057983,B. Ruiz,Costa Rica,MID,0,0,0,0,1,0
20938,2057983,V. Behrami,Switzerland,MID,1,0,0,0,0,0
21169,2057983,B. Džemaili,Switzerland,MID,2,1,0,1,0,0
49872,2057983,X. Shaqiri,Switzerland,MID,0,0,0,0,0,3
49876,2057983,G. Xhaka,Switzerland,MID,0,0,0,0,2,0
51004,2057983,C. Borges,Costa Rica,MID,3,0,0,2,0,0
125260,2057983,D. Guzmán,Costa Rica,MID,1,0,0,1,0,2
360992,2057983,D. Zakaria,Switzerland,MID,0,0,1,1,0,0
3318,2057984,S. Khedira,Germany,MID,1,0,0,2,0,0
3319,2057984,M. Özil,Germany,MID,1,0,0,2,1,0
3384,2057984,A. Guardado,Mexico,MID,1,0,0,1,0,0
14723,2057984,T. Kroos,Germany,MID,5,0,0,0,0,5
14862,2057984,J. Draxler,Germany,MID,5,0,0,1,0,1
112459,2057984,H. Herrera,Mexico,MID,1,0,0,0,0,0
146583,2057984,J. Brandt,Germany,MID,1,0,0,1,0,0
336178,2057984,J. Gallardo,Mexico,MID,0,0,0,2,12,0
8529,2057985,S. Larsson,Sweden,MID,1,0,0,3,1,6
15781,2057985,Ja-Cheol Koo,Korea Republic,MID,1,0,0,0,0,0
51132,2057985,E. Forsberg,Sweden,MID,4,0,0,0,0,0
51144,2057985,V. Claesson,Sweden,MID,2,0,0,1,4,0
95299,2057985,Min-Woo Kim,Korea Republic,MID,1,0,0,3,6,0
95490,2057985,Woo-Young Jung,Korea Republic,MID,0,0,0,1,0,0
299121,2057985,Jae-Sung Lee,Korea Republic,MID,1,0,0,1,0,4
8529,2057986,S. Larsson,Sweden,MID,0,0,0,0,0,1
14723,2057986,T. Kroos,Germany,MID,3,1,0,3,1,5
14808,2057986,İ. Gündoğan,Germany,MID,1,0,0,1,1,0
14862,2057986,J. Draxler,Germany,MID,1,0,0,1,0,0
15811,2057986,S. Rudy,Germany,MID,1,0,0,0,0,0
50812,2057986,J. Durmaz,Sweden,MID,0,0,0,1,0,0
51132,2057986,E. Forsberg,Sweden,MID,1,0,0,0,1,0
51144,2057986,V. Claesson,Sweden,MID,0,0,1,1,2,0
146583,2057986,J. Brandt,Germany,MID,1,0,0,1,1,0
3384,2057987,A. Guardado,Mexico,MID,2,0,0,1,2,2
51625,2057987,Seon-Min Moon,Korea Republic,MID,2,0,0,2,0,0
61962,2057987,Sung-Yeung Ki,Korea Republic,MID,3,0,0,0,0,0
95299,2057987,Min-Woo Kim,Korea Republic,MID,0,0,0,2,9,0
112459,2057987,H. Herrera,Mexico,MID,1,0,0,0,0,0
299121,2057987,Jae-Sung Lee,Korea Republic,MID,3,0,0,2,0,1
336178,2057987,J. Gallardo,Mexico,MID,0,0,0,1,7,0
3318,2057988,S. Khedira,Germany,MID,2,0,0,1,0,0
3319,2057988,M. Özil,Germany,MID,1,0,0,4,0,1
14723,2057988,T. Kroos,Germany,MID,5,0,0,1,3,7
15781,2057988,Ja-Cheol Koo,Korea Republic,MID,0,0,0,1,0,0
95490,2057988,Woo-Young Jung,Korea Republic,MID,2,0,0,0,0,0
134387,2057988,L. Goretzka,Germany,MID,1,0,0,2,1,0
146583,2057988,J. Brandt,Germany,MID,2,0,0,1,2,0
209567,2057988,Se-Jong Ju,Korea Republic,MID,0,0,1,0,0,0
299121,2057988,Jae-Sung Lee,Korea Republic,MID,1,0,0,0,0,0
3384,2057989,A. Guardado,Mexico,MID,2,0,0,0,0,0
8529,2057989,S. Larsson,Sweden,MID,0,0,0,2,0,0
51132,2057989,E. Forsberg,Sweden,MID,5,0,0,0,0,0
51144,2057989,V. Claesson,Sweden,MID,1,0,0,0,1,0
112253,2057989,M. Fabián,Mexico,MID,1,0,0,2,0,0
112459,2057989,H. Herrera,Mexico,MID,1,0,0,5,1,1
336178,2057989,J. Gallardo,Mexico,MID,0,0,0,3,8,0
261,2057990,N. Chadli,Belgium,MID,0,0,0,0,1,0
38021,2057990,K. De Bruyne,Belgium,MID,1,0,1,3,1,3
86411,2057990,A. Cooper,Panama,MID,1,0,0,0,0,0
241077,2057990,Y. Bárcenas,Panama,MID,1,0,0,3,0,3
