player_id,match_id,name,team,pos,throw,corner
120156,2057959,Ahmed Fathy,Egypt,DEF,11,0
122615,2057959,Hattan Bahbir,Saudi Arabia,MID,0,1
122832,2057959,Salem Al Dawsari,Saudi Arabia,MID,0,1
122847,2057959,Salman Al Faraj,Saudi Arabia,MID,4,5
122940,2057959,Yasir Al Shahrani,Saudi Arabia,DEF,4,0
292954,2057959,Mohammed Al Burayk,Saudi Arabia,DEF,6,0
388928,2057959,Amr Warda,Egypt,MID,0,2
3269,2057960,Jordi Alba,Spain,DEF,8,0
3304,2057960,Nacho,Spain,DEF,11,0
3322,2057960,Cristiano Ronaldo,Portugal,FWD,1,0
3443,2057960,Koke,Spain,MID,0,1
3563,2057960,Isco,Spain,MID,2,3
8317,2057960,David Silva,Spain,MID,0,1
28907,2057960,Raphaël Guerreiro,Portugal,DEF,11,0
32597,2057960,Ricardo Quaresma,Portugal,FWD,0,3
70093,2057960,João Moutinho,Portugal,MID,1,1
70389,2057960,Cédric Soares,Portugal,DEF,4,0
20579,2057961,M. Benatia,Morocco,DEF,1,0
25998,2057961,Y. Belhanda,Morocco,MID,2,1
32968,2057961,N. Amrabat,Morocco,FWD,5,0
79098,2057961,R. Rezaeian,Iran,DEF,15,0
79248,2057961,E. Hajsafi,Iran,DEF,10,0
79381,2057961,A. Jahanbakhsh,Iran,FWD,0,2
101846,2057961,M. Boussoufa,Morocco,MID,1,2
221039,2057961,H. Ziyech,Morocco,MID,3,2
237836,2057961,V. Amiri,Iran,MID,3,0
285590,2057961,S. Amrabat,Morocco,MID,1,0
396475,2057961,A. Hakimi,Morocco,DEF,6,0
142,2057962,K. El Ahmadi,Morocco,MID,1,0
25998,2057962,Y. Belhanda,Morocco,MID,0,1
28907,2057962,Raphaël Guerreiro,Portugal,DEF,7,0
32968,2057962,N. Amrabat,Morocco,FWD,2,0
70093,2057962,João Moutinho,Portugal,MID,0,2
70389,2057962,Cédric Soares,Portugal,DEF,6,0
101846,2057962,M. Boussoufa,Morocco,MID,0,1
101847,2057962,M. Carcela-González,Morocco,MID,1,0
149074,2057962,N. Dirar,Morocco,MID,14,0
221039,2057962,H. Ziyech,Morocco,MID,3,5
243588,2057962,Bruno Fernandes,Portugal,MID,0,1
265673,2057962,Bernardo Silva,Portugal,MID,0,2
396475,2057962,A. Hakimi,Morocco,DEF,11,0
3269,2057963,Jordi Alba,Spain,DEF,5,0
3306,2057963,Sergio Ramos,Spain,DEF,2,0
3353,2057963,Iniesta,Spain,MID,1,0
3563,2057963,Isco,Spain,MID,2,5
4498,2057963,Lucas Vázquez,Spain,FWD,2,0
4501,2057963,Daniel Carvajal,Spain,DEF,9,0
8317,2057963,David Silva,Spain,MID,1,1
79098,2057963,R. Rezaeian,Iran,DEF,6,0
79149,2057963,K. Ansarifard,Iran,FWD,0,2
79248,2057963,E. Hajsafi,Iran,DEF,4,0
79320,2057963,M. Taremi,Iran,FWD,1,0
237836,2057963,V. Amiri,Iran,MID,1,0
333803,2057963,M. Mohammadi,Iran,DEF,4,0
3322,2057964,Cristiano Ronaldo,Portugal,FWD,1,0
28907,2057964,Raphaël Guerreiro,Portugal,DEF,8,0
32597,2057964,Ricardo Quaresma,Portugal,FWD,1,5
70389,2057964,Cédric Soares,Portugal,DEF,14,0
79098,2057964,R. Rezaeian,Iran,DEF,7,0
79248,2057964,E. Hajsafi,Iran,DEF,1,0
79381,2057964,A. Jahanbakhsh,Iran,FWD,1,1
237836,2057964,V. Amiri,Iran,MID,3,0
3269,2057965,Jordi Alba,Spain,DEF,6,0
3563,2057965,Isco,Spain,MID,1,3
4501,2057965,Daniel Carvajal,Spain,DEF,14,0
8317,2057965,David Silva,Spain,MID,0,3
25888,2057965,F. Fajr,Morocco,MID,0,1
149074,2057965,N. Dirar,Morocco,MID,4,0
221039,2057965,H. Ziyech,Morocco,MID,3,0
288091,2057965,Marco Asensio,Spain,MID,0,1
396475,2057965,A. Hakimi,Morocco,DEF,3,0
54,2057967,C. Eriksen,Denmark,MID,0,7
56026,2057967,J. Stryger Larsen,Denmark,DEF,4,0
56394,2057967,H. Dalsgaard,Denmark,DEF,12,0
114709,2057967,L. Advíncula,Peru,DEF,7,0
114723,2057967,Y. Yotún,Peru,MID,2,3
115146,2057967,M. Trauco,Peru,DEF,10,0
3682,2057968,A. Griezmann,France,FWD,1,2
28115,2057968,N. Fekir,France,MID,1,0
114709,2057968,L. Advíncula,Peru,DEF,11,0
114813,2057968,C. Cueva,Peru,MID,0,1
115146,2057968,M. Trauco,Peru,DEF,17,2
279545,2057968,L. Hernández,France,DEF,12,0
286390,2057968,O. Dembélé,France,FWD,0,2
340646,2057968,B. Pavard,France,DEF,12,0
353833,2057968,K. Mbappé,France,FWD,0,1
54,2057970,C. Eriksen,Denmark,MID,0,4
26136,2057970,B. Mendy,France,DEF,3,0
26196,2057970,D. Sidibé,France,DEF,7,0
28922,2057970,T. Lemar,France,MID,0,1
56026,2057970,J. Stryger Larsen,Denmark,DEF,6,0
56394,2057970,H. Dalsgaard,Denmark,DEF,12,0
279545,2057970,L. Hernández,France,DEF,10,0
286390,2057970,O. Dembélé,France,FWD,0,1
3280,2057972,É. Banega,Argentina,MID,1,1
3314,2057972,Á. di María,Argentina,MID,2,4
3323,2057972,G. Higuaín,Argentina,FWD,1,0
3359,2057972,L. Messi,Argentina,FWD,0,1
3445,2057972,E. Salvio,Argentina,MID,6,0
54451,2057972,B. Sævarsson,Iceland,DEF,1,0
70086,2057972,N. Otamendi,Argentina,DEF,1,0
77521,2057972,A. Gunnarsson,Iceland,MID,4,0
77558,2057972,G. Sigurðsson,Iceland,MID,0,2
86722,2057972,N. Tagliafico,Argentina,DEF,3,0
135207,2057972,H. Magnússon,Iceland,DEF,7,0
146459,2057972,M. Meza,Argentina,MID,2,4
3476,2057973,I. Rakitić,Croatia,MID,1,2
8287,2057973,L. Modrić,Croatia,MID,0,4
8625,2057973,V. Moses,Nigeria,MID,0,5
69409,2057973,Š. Vrsaljko,Croatia,DEF,6,0
105361,2057973,I. Strinić,Croatia,DEF,5,0
209792,2057973,B. Idowu,Nigeria,DEF,3,0
265366,2057973,W. Ndidi,Nigeria,MID,4,0
265368,2057973,A. Shehu,Nigeria,DEF,8,0
424624,2057973,O. Etebo,Nigeria,FWD,1,0
3323,2057974,G. Higuaín,Argentina,FWD,1,0
3445,2057974,E. Salvio,Argentina,MID,5,0
8287,2057974,L. Modrić,Croatia,MID,0,2
14812,2057974,I. Perišić,Croatia,MID,1,0
69409,2057974,Š. Vrsaljko,Croatia,DEF,8,0
86220,2057974,G. Mercado,Argentina,DEF,5,0
86722,2057974,N. Tagliafico,Argentina,DEF,2,0
89073,2057974,M. Acuña,Argentina,MID,12,3
105361,2057974,I. Strinić,Croatia,DEF,14,0
146459,2057974,M. Meza,Argentina,MID,1,1
285396,2057974,C. Pavón,Argentina,FWD,0,1
8625,2057975,V. Moses,Nigeria,MID,10,0
16443,2057975,L. Balogun,Nigeria,DEF,2,0
54451,2057975,B. Sævarsson,Iceland,DEF,8,0
57347,2057975,S. Ingason,Iceland,DEF,1,0
62221,2057975,K. Árnason,Iceland,DEF,2,0
77521,2057975,A. Gunnarsson,Iceland,MID,4,0
77558,2057975,G. Sigurðsson,Iceland,MID,0,5
101606,2057975,A. Musa,Nigeria,FWD,2,0
135207,2057975,H. Magnússon,Iceland,DEF,6,0
209792,2057975,B. Idowu,Nigeria,DEF,1,0
265366,2057975,W. Ndidi,Nigeria,MID,1,0
285508,2057975,K. Iheanacho,Nigeria,FWD,0,3
332821,2057975,T. Ebuehi,Nigeria,DEF,3,0
424624,2057975,O. Etebo,Nigeria,FWD,0,3
3280,2057976,É. Banega,Argentina,MID,0,2
3314,2057976,Á. di María,Argentina,MID,1,0
3355,2057976,J. Mascherano,Argentina,DEF,1,0
8625,2057976,V. Moses,Nigeria,MID,12,0
16443,2057976,L. Balogun,Nigeria,DEF,3,0
70086,2057976,N. Otamendi,Argentina,DEF,1,0
86220,2057976,G. Mercado,Argentina,DEF,8,0
86722,2057976,N. Tagliafico,Argentina,DEF,15,0
