player_id,match_id,name,team,pos,assist,cross
70122,2057981,N. Matić,Serbia,MID,0,1
127530,2057981,D. Tošić,Serbia,DEF,0,1
127537,2057981,L. Milivojević,Serbia,MID,0,1
127796,2057981,F. Kostić,Serbia,MID,0,4
237274,2057981,N. Radonjić,Serbia,MID,0,1
265865,2057981,S. Milinković-Savić,Serbia,MID,0,1
282772,2057981,B. Embolo,Switzerland,FWD,0,1
297957,2057981,M. Akanji,Switzerland,DEF,0,1
383,2057982,D. Tadić,Serbia,MID,0,4
3434,2057982,Filipe Luis,Brazil,DEF,0,1
3802,2057982,Philippe Coutinho,Brazil,FWD,1,0
8306,2057982,A. Kolarov,Serbia,DEF,0,5
15214,2057982,A. Rukavina,Serbia,DEF,0,6
20941,2057982,A. Ljajić,Serbia,FWD,0,3
40550,2057982,Paulinho,Brazil,MID,0,2
40810,2057982,Neymar,Brazil,FWD,1,1
105333,2057982,Willian,Brazil,MID,0,3
105339,2057982,Fernandinho,Brazil,MID,0,2
127796,2057982,F. Kostić,Serbia,MID,0,4
140085,2057982,A. Živković,Serbia,MID,0,3
237274,2057982,N. Radonjić,Serbia,MID,0,1
14922,2057983,R. Rodríguez,Switzerland,DEF,0,5
20465,2057983,S. Lichtsteiner,Switzerland,DEF,0,5
21169,2057983,B. Džemaili,Switzerland,MID,0,1
26038,2057983,J. Campbell,Costa Rica,FWD,1,1
51004,2057983,C. Borges,Costa Rica,MID,0,2
55982,2057983,B. Oviedo,Costa Rica,DEF,0,5
125260,2057983,D. Guzmán,Costa Rica,MID,0,1
125273,2057983,D. Colindres,Costa Rica,FWD,0,4
282772,2057983,B. Embolo,Switzerland,FWD,1,2
360992,2057983,D. Zakaria,Switzerland,MID,1,1
3318,2057984,S. Khedira,Germany,MID,0,2
3319,2057984,M. Özil,Germany,MID,0,2
3384,2057984,A. Guardado,Mexico,MID,0,1
3685,2057984,C. Vela,Mexico,FWD,0,2
7941,2057984,J. Hernández,Mexico,FWD,1,0
