player_id,match_id,name,team,pos
79449,2057961,M. Pouraliganji,Iran,DEF
101620,2057961,M. da Costa,Morocco,DEF
101846,2057961,M. Boussoufa,Morocco,MID
221039,2057961,H. Ziyech,Morocco,MID
237836,2057961,V. Amiri,Iran,MID
238031,2057961,A. Beiranvand,Iran,GKP
272829,2057961,R. Cheshmi,Iran,DEF
285538,2057961,M. Hosseini,Iran,DEF
285590,2057961,S. Amrabat,Morocco,MID
372915,2057961,A. Harit,Morocco,MID
396475,2057961,A. Hakimi,Morocco,DEF
552555,2057961,A. El Kaabi,Morocco,FWD
142,2057962,K. El Ahmadi,Morocco,MID
3305,2057962,Pepe,Portugal,DEF
3322,2057962,Cristiano Ronaldo,Portugal,FWD
6509,2057962,Munir,Morocco,GKP
8126,2057962,José Fonte,Portugal,DEF
20579,2057962,M. Benatia,Morocco,DEF
25888,2057962,F. Fajr,Morocco,MID
25998,2057962,Y. Belhanda,Morocco,MID
28907,2057962,Raphaël Guerreiro,Portugal,DEF
29625,2057962,K. Boutaïb,Morocco,FWD
32968,2057962,N. Amrabat,Morocco,FWD
37762,2057962,William Carvalho,Portugal,MID
70093,2057962,João Moutinho,Portugal,MID
70134,2057962,Rui Patrício,Portugal,GKP
70389,2057962,Cédric Soares,Portugal,DEF
70403,2057962,Adrien Silva,Portugal,MID
70965,2057962,João Mário,Portugal,MID
101620,2057962,M. da Costa,Morocco,DEF
101846,2057962,M. Boussoufa,Morocco,MID
101847,2057962,M. Carcela-González,Morocco,MID
149074,2057962,N. Dirar,Morocco,MID
221039,2057962,H. Ziyech,Morocco,MID
227059,2057962,Gelson Martins,Portugal,FWD
237034,2057962,Gonçalo Guedes,Portugal,FWD
243588,2057962,Bruno Fernandes,Portugal,MID
265673,2057962,Bernardo Silva,Portugal,MID
396475,2057962,A. Hakimi,Morocco,DEF
552555,2057962,A. El Kaabi,Morocco,FWD
3269,2057963,Jordi Alba,Spain,DEF
3306,2057963,Sergio Ramos,Spain,DEF
3341,2057963,Piqué,Spain,DEF
3346,2057963,Sergio Busquets,Spain,MID
3353,2057963,Iniesta,Spain,MID
3443,2057963,Koke,Spain,MID
3563,2057963,Isco,Spain,MID
4338,2057963,Diego Costa,Spain,FWD
4498,2057963,Lucas Vázquez,Spain,FWD
4501,2057963,Daniel Carvajal,Spain,DEF
7910,2057963,David de Gea,Spain,GKP
8317,2057963,David Silva,Spain,MID
53562,2057963,S. Ghoddos,Iran,FWD
70129,2057963,Rodrigo,Spain,FWD
78991,2057963,O. Ebrahimi,Iran,MID
79006,2057963,S. Azmoun,Iran,FWD
79098,2057963,R. Rezaeian,Iran,DEF
79149,2057963,K. Ansarifard,Iran,FWD
79248,2057963,E. Hajsafi,Iran,DEF
79320,2057963,M. Taremi,Iran,FWD
79381,2057963,A. Jahanbakhsh,Iran,FWD
79449,2057963,M. Pouraliganji,Iran,DEF
237836,2057963,V. Amiri,Iran,MID
238031,2057963,A. Beiranvand,Iran,GKP
241647,2057963,S. Ezatolahi,Iran,MID
285538,2057963,M. Hosseini,Iran,DEF
288091,2057963,Marco Asensio,Spain,MID
333803,2057963,M. Mohammadi,Iran,DEF
3305,2057964,Pepe,Portugal,DEF
3322,2057964,Cristiano Ronaldo,Portugal,FWD
8126,2057964,José Fonte,Portugal,DEF
28907,2057964,Raphaël Guerreiro,Portugal,DEF
32597,2057964,Ricardo Quaresma,Portugal,FWD
37762,2057964,William Carvalho,Portugal,MID
53562,2057964,S. Ghoddos,Iran,FWD
70093,2057964,João Moutinho,Portugal,MID
70134,2057964,Rui Patrício,Portugal,GKP
70389,2057964,Cédric Soares,Portugal,DEF
70403,2057964,Adrien Silva,Portugal,MID
70965,2057964,João Mário,Portugal,MID
78991,2057964,O. Ebrahimi,Iran,MID
79006,2057964,S. Azmoun,Iran,FWD
79098,2057964,R. Rezaeian,Iran,DEF
79149,2057964,K. Ansarifard,Iran,FWD
79248,2057964,E. Hajsafi,Iran,DEF
79320,2057964,M. Taremi,Iran,FWD
79381,2057964,A. Jahanbakhsh,Iran,FWD
79449,2057964,M. Pouraliganji,Iran,DEF
135927,2057964,André Silva,Portugal,FWD
237034,2057964,Gonçalo Guedes,Portugal,FWD
237836,2057964,V. Amiri,Iran,MID
238031,2057964,A. Beiranvand,Iran,GKP
241647,2057964,S. Ezatolahi,Iran,MID
265673,2057964,Bernardo Silva,Portugal,MID
285538,2057964,M. Hosseini,Iran,DEF
333803,2057964,M. Mohammadi,Iran,DEF
142,2057965,K. El Ahmadi,Morocco,MID
3269,2057965,Jordi Alba,Spain,DEF
3306,2057965,Sergio Ramos,Spain,DEF
3341,2057965,Piqué,Spain,DEF
3345,2057965,Thiago Alcântara,Spain,MID
3346,2057965,Sergio Busquets,Spain,MID
3353,2057965,Iniesta,Spain,MID
3563,2057965,Isco,Spain,MID
3840,2057965,Iago Aspas,Spain,FWD
4338,2057965,Diego Costa,Spain,FWD
4501,2057965,Daniel Carvajal,Spain,DEF
6509,2057965,Munir,Morocco,GKP
7910,2057965,David de Gea,Spain,GKP
8317,2057965,David Silva,Spain,MID
25888,2057965,F. Fajr,Morocco,MID
25998,2057965,Y. Belhanda,Morocco,MID
26226,2057965,R. Saïss,Morocco,MID
29625,2057965,K. Boutaïb,Morocco,FWD
32968,2057965,N. Amrabat,Morocco,FWD
70129,2057965,Rodrigo,Spain,FWD
101620,2057965,M. da Costa,Morocco,DEF
101846,2057965,M. Boussoufa,Morocco,MID
149074,2057965,N. Dirar,Morocco,MID
221039,2057965,H. Ziyech,Morocco,MID
