player_id,match_id,shot,goal
51004,2057979,1,0
55977,2057979,1,0
70122,2057979,1,0
101796,2057979,2,0
125250,2057979,1,0
125286,2057979,2,0
125512,2057979,1,0
127796,2057979,1,0
128214,2057979,4,0
265865,2057979,2,0
3310,2057980,3,0
3802,2057980,6,1
15808,2057980,1,0
20394,2057980,1,0
40756,2057980,2,0
40810,2057980,5,1
51004,2057980,1,0
55977,2057980,1,0
105333,2057980,1,0
125250,2057980,1,0
340386,2057980,2,0
383,2057981,2,0
14922,2057981,1,0
15199,2057981,1,0
20465,2057981,1,0
20941,2057981,1,0
21169,2057981,2,0
49872,2057981,7,1
49876,2057981,2,1
50102,2057981,1,0
70122,2057981,1,0
128214,2057981,6,1
265865,2057981,1,0
282772,2057981,1,0
297957,2057981,2,0
383,2057982,1,0
3434,2057982,1,0
3802,2057982,2,0
20394,2057982,1,1
40550,2057982,1,1
40756,2057982,1,0
40810,2057982,7,0
70122,2057982,1,0
127796,2057982,1,0
128214,2057982,4,0
140085,2057982,1,0
265865,2057982,2,0
340386,2057982,1,0
14922,2057983,1,0
15199,2057983,2,0
20465,2057983,1,0
20938,2057983,1,0
21169,2057983,2,1
26038,2057983,2,0
50023,2057983,3,1
51004,2057983,3,0
55977,2057983,1,0
55982,2057983,2,0
125260,2057983,1,0
125273,2057983,3,0
125575,2057983,1,1
282772,2057983,1,0
3318,2057984,1,0
3319,2057984,1,0
3384,2057984,1,0
3685,2057984,1,0
3795,2057984,1,0
7941,2057984,1,0
14716,2057984,1,0
14723,2057984,5,0
14731,2057984,2,0
14795,2057984,1,0
14862,2057984,5,0
15024,2057984,1,0
15125,2057984,1,0
112366,2057984,4,0
112459,2057984,1,0
146583,2057984,1,0
173214,2057984,3,0
224593,2057984,2,0
295156,2057984,2,1
123,2057985,1,0
8529,2057985,1,0
14908,2057985,3,0
15781,2057985,1,0
21275,2057985,2,1
50806,2057985,1,0
51132,2057985,4,0
51144,2057985,2,0
95299,2057985,1,0
299121,2057985,1,0
349687,2057985,1,0
403546,2057985,1,0
123,2057986,1,1
151,2057986,1,0
14716,2057986,2,0
14723,2057986,3,1
14731,2057986,1,0
14732,2057986,1,0
14808,2057986,1,0
14862,2057986,1,0
14908,2057986,3,0
15024,2057986,2,1
15811,2057986,1,0
18669,2057986,2,0
51132,2057986,1,0
146583,2057986,1,0
173214,2057986,1,0
3384,2057987,2,0
3685,2057987,1,1
7941,2057987,3,1
14911,2057987,7,1
51625,2057987,2,0
61962,2057987,3,0
112366,2057987,1,0
112459,2057987,1,0
295156,2057987,3,0
299121,2057987,3,0
349687,2057987,1,0
3318,2057988,2,0
3319,2057988,1,0
14723,2057988,5,0
14731,2057988,1,0
14732,2057988,2,0
14795,2057988,5,0
14911,2057988,5,1
15024,2057988,2,0
95200,2057988,1,1
95490,2057988,2,0
107529,2057988,1,0
134387,2057988,1,0
146583,2057988,2,0
173214,2057988,3,0
224593,2057988,1,0
299121,2057988,1,0
3384,2057989,2,0
3685,2057989,4,0
7941,2057989,2,0
14908,2057989,4,0
21275,2057989,0,1
51132,2057989,5,0
51144,2057989,1,0
51217,2057989,2,1
112253,2057989,1,0
112366,2057989,2,0
112459,2057989,1,0
255387,2057989,3,0
295156,2057989,3,0
122,2057990,4,1
7905,2057990,3,2
25707,2057990,3,0
38021,2057990,1,0
86411,2057990,1,0
91263,2057990,2,0
116997,2057990,1,0
134769,2057990,1,0
241077,2057990,1,0
361498,2057990,1,0
7934,2057991,4,0
7964,2057991,1,0
8653,2057991,2,0
8717,2057991,3,2
9380,2057991,1,0
13484,2057991,1,0
25776,2057991,1,0
26100,2057991,2,0
120853,2057991,1,1
209354,2057991,1,0
36,2057992,2,0
7905,2057992,2,2
25707,2057992,3,2
25776,2057992,3,1
26100,2057992,1,0
28094,2057992,2,0
37824,2057992,2,0
38093,2057992,6,1
70123,2057992,3,0
120853,2057992,2,0
134769,2057992,4,0
209354,2057992,2,0
275243,2057992,1,0
295747,2057992,1,1
7934,2057993,2,1
7964,2057993,1,0
8653,2057993,1,0
8717,2057993,1,3
9380,2057993,2,2
11066,2057993,2,0
86414,2057993,1,0
91263,2057993,1,0
112679,2057993,1,1
113517,2057993,1,0
235555,2057993,1,0
241077,2057993,2,0
401861,2057993,1,0
122,2057994,1,0
7945,2057994,1,0
8249,2057994,2,0
8464,2057994,2,0
12829,2057994,1,0
25622,2057994,3,0
38093,2057994,1,0
235555,2057994,1,0
261127,2057994,4,1
263802,2057994,2,0
397178,2057994,3,0
25776,2057995,5,1
26100,2057995,3,0
59083,2057995,1,0
86414,2057995,1,0
91263,2057995,1,0
120853,2057995,1,0
120900,2057995,1,0
209354,2057995,4,1
241077,2057995,1,0
354043,2057995,1,0
401861,2057995,2,0
14798,2057996,1,0
14817,2057996,1,0
25706,2057996,2,0
25747,2057996,1,0
25898,2057996,2,1
26115,2057996,1,0
33032,2057996,2,0
97582,2057996,1,0
99391,2057996,1,0
99452,2057996,1,0
240042,2057996,2,0
703,2057997,1,0
3450,2057997,2,0
14816,2057997,1,1
14836,2057997,3,0
20751,2057997,1,0
37831,2057997,1,0
70096,2057997,1,0
91002,2057997,1,0
91019,2057997,1,1
94695,2057997,2,0
94831,2057997,5,1
101592,2057997,1,0
3450,2057998,2,1
14817,2057998,4,0
20751,2057998,3,1
70096,2057998,1,0
70136,2057998,1,0
91019,2057998,2,0
91502,2057998,1,0
99902,2057998,2,0
255738,2057998,1,0
256634,2057998,1,1
14836,2057999,2,1
14929,2057999,1,0
15054,2057999,1,0
25747,2057999,1,1
25898,2057999,4,0
27412,2057999,1,0
28529,2057999,2,0
94650,2057999,1,0
94831,2057999,2,0
101592,2057999,1,1
207164,2057999,1,0
375348,2057999,1,1
448079,2057999,1,0
703,2058000,1,0
14730,2058000,3,0
14749,2058000,1,0
14763,2058000,1,0
14817,2058000,2,0
21097,2058000,1,0
33032,2058000,2,0
94630,2058000,1,0
94764,2058000,1,0
99902,2058000,1,0
100140,2058000,1,0
225324,2058000,2,0
240032,2058000,1,1
3450,2058001,1,0
20764,2058001,1,0
25898,2058001,2,0
256480,2058001,1,0
256634,2058001,1,1
448079,2058001,2,0
3305,2058002,1,1
3322,2058002,5,0
7972,2058002,2,0
8126,2058002,1,0
21174,2058002,3,2
28907,2058002,2,0
32597,2058002,1,0
32599,2058002,2,0
37762,2058002,1,0
70403,2058002,1,0
237034,2058002,2,0
265673,2058002,2,0
299618,2058002,1,0
3280,2058003,1,0
3314,2058003,2,1
3359,2058003,3,0
3682,2058003,0,1
8325,2058003,2,1
25437,2058003,1,0
26010,2058003,1,0
86220,2058003,1,1
340646,2058003,1,1
353833,2058003,2,2
3269,2058004,2,0
3306,2058004,1,1
3341,2058004,3,1
3346,2058004,1,0
3353,2058004,2,1
3443,2058004,1,0
3563,2058004,1,0
3840,2058004,2,0
4338,2058004,3,0
4501,2058004,1,0
4513,2058004,0,1
8317,2058004,1,0
70129,2058004,3,0
101583,2058004,0,1
101669,2058004,1,1
101707,2058004,1,1
101857,2058004,1,0
103682,2058004,1,0
257800,2058004,1,1
288091,2058004,1,0
54,2058005,4,0
405,2058005,3,0
3476,2058005,4,1
8287,2058005,2,1
14812,2058005,5,0
14943,2058005,1,1
15080,2058005,2,0
20433,2058005,0,1
25393,2058005,1,0
55968,2058005,3,0
55979,2058005,1,1
55990,2058005,1,0
56025,2058005,0,1
69404,2058005,1,0
69411,2058005,1,1
69616,2058005,3,0
69964,2058005,1,0
241945,2058005,1,0
3384,2058006,2,0
3685,2058006,2,0
3802,2058006,4,0
15808,2058006,1,1
40550,2058006,1,0
40810,2058006,6,1
105333,2058006,2,0
112366,2058006,1,0
112392,2058006,1,0
112459,2058006,1,0
295156,2058006,4,0
336178,2058006,1,0
340386,2058006,3,0
48,2058007,2,1
261,2058007,2,1
7905,2058007,6,0
8249,2058007,1,1
8307,2058007,3,0
14816,2058007,1,0
14836,2058007,3,1
25707,2058007,3,0
37824,2058007,2,0
38021,2058007,2,0
70123,2058007,2,0
94650,2058007,2,1
94814,2058007,1,0
101592,2058007,1,0
134769,2058007,1,0
123,2058008,1,0
14908,2058008,3,0
14922,2058008,3,0
20766,2058008,1,0
20876,2058008,3,0
21169,2058008,1,0
49872,2058008,4,0
49876,2058008,2,0
49977,2058008,1,0
49997,2058008,2,0
